id,applies_to_nation_input,applies_to_nation_output,reason
3baf9f5b-c430-4af2-b2be-3f70985443b2,true,true,"This document specifically addresses pesticide regulations and emergency authorisations within England, as indicated by mentions of 'England' and references to Defra's commitments and plans affecting only England's agricultural policies and practices."
7e755b06-a6b1-42af-a0e5-3cf664ca0c7b,true,true,"This document applies to England as it pertains to permits issued by the Environment Agency, which is responsible for environmental regulation in England."
c1d9c22f-79c5-4bdd-b4bb-1ce1188f1fef,true,true,"This document applies to England as it specifically refers to the Environment Agency, which is responsible for environmental protection in England. The topics mentioned, such as waste operations and water discharge activities, fall under their jurisdiction."
dd43186e-e173-4f48-9b9f-4899d89c902b,true,true,"This document pertains to educational data and statistics, which are applicable to England as education policy and data collection are primarily managed by the UK government for England. Other nations within the UK have separate educational governance structures."
ddb5c3ff-9bd0-4fad-905d-867d4cfb7316,true,true,"The document pertains to an application submitted to the Environment Agency, which is responsible for environmental regulation in England. The mention of the Environmental Permitting (England and Wales) Regulations 2016 indicates its applicability to England."
fecb5f11-219c-458f-aff4-85da6769a7aa,true,true,"This document specifically mentions the 'care home factsheet for England', indicating that it is directly relevant to England."
c5faf22a-658d-4887-af74-614caab1dd98,true,true,"This document pertains to children's services under local authorities, which are relevant to England as they are responsible for the welfare of children in need and those looked after in this jurisdiction."
30743951-d02c-4b8b-83e3-d63e570120a0,true,true,"This document pertains to permits issued by the Environment Agency, which is an agency operating in England responsible for environmental regulation, including permits under the Industrial Emissions Directive."
8e8f0c01-8f95-42b8-a1a3-ac8ac6862638,true,true,"This document applies to England as it specifically mentions the Environment Agency, which is the government body responsible for environmental protection and regulation in England. The activities outlined such as waste operations and water discharge are regulated under English law."
b2f34319-d2bf-4f39-aa6e-962a0ee45a49,true,true,"This document applies to England as it specifically mentions guidance for inspectors conducting a joint targeted area inspection (JTAI) under the Children Act 2004, which is a piece of legislation that governs child safeguarding in England."
9f8efff8-18bd-42d7-a41e-06e2117093a0,true,true,"This document applies to England as it concerns the regulatory judgement of Fairhive Homes Limited, a registered provider of social housing operating in England, specifically in Buckinghamshire, Oxfordshire, and South Northamptonshire. The regulatory framework and standards mentioned are relevant to social housing providers within England."
fe5c2acb-6152-4f91-a0bd-82312932407b,true,true,"This document relates to the Crown Prosecution Service (CPS), which operates in England and is responsible for prosecuting criminal cases. As the CPS's response and guidance pertain to improving handling of stalking cases within English jurisdiction, it specifically applies to England."
584b707e-26ea-42a7-9dcd-82f2be860a3f,true,true,"The document pertains to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, specifically referencing the Environment Agency, which operates in England and Wales."
4f678087-b0b7-401c-9ce4-c897adf507ff,true,true,"This document pertains to gas consumption statistics, which are relevant to energy policy and regulation in England, making it applicable to this nation."
206cf7e9-1c06-4234-ba93-539c26f0ef77,true,true,"The document explicitly mentions that the scheme covers England only, indicating its applicability to that nation."
7542c060-bb2c-4d95-bb2b-965a449b3261,true,true,"The document pertains to an environmental permit application processed by the Environment Agency, which is responsible for environmental regulation in England. Therefore, it applies to England."
cd317cd2-6461-4031-a4a5-4b8ee7e885d7,true,true,"The document specifically mentions data presented at the England level, indicating that it is relevant to England and pertains to its public health policies and initiatives regarding smoking cessation."
5d371bf0-a35a-4257-9ce6-21cabd43f4a0,true,false,"This document is primarily in Welsh and appears to be focused on services relevant to Wales, specifically mentioning the Land Registry services for England and Wales, but does not explicitly apply to England alone."
0f5aaab2-bc46-4f74-aa0e-6ad80445a27d,true,true,"This document pertains to an application for an environmental permit under the Environmental Permitting (England and Wales) Regulations, indicating that it is directly relevant to England."
ae8f4c7f-f5d6-4846-94d6-d79765ea2655,true,true,"This document specifically discusses civil county court cases and judicial reviews within the context of the justice system of England and Wales, signifying its relevance to England."
9fd9f817-8fc6-415b-9a4d-1b2442e8eba5,true,true,"The document pertains to the legal aid scheme administered by the Legal Aid Agency (LAA) specifically for England and Wales, and thus applies to England."
2557197d-b197-483e-9d80-74271801a30f,true,true,"This document pertains to the Environmental Permitting (England and Wales) Regulations, specifically referring to an application made by Winchester City Council in Hampshire, which is located in England."
3399c518-faa3-43c6-aad8-e18bcb15b4e2,true,true,"This document pertains to environmental regulations managed by the Environment Agency, which is responsible for these matters in England. Thus, it specifically applies to England."
dba21d7d-a10b-4f0e-a388-1711ecad716c,true,true,"The document pertains to regulatory judgements for social landlords, which are specific to England's housing regulation framework under the Regulator of Social Housing."
a2ac971e-78e8-4670-a85e-764508b7a16b,false,false,"This document specifically pertains to the Police Ombudsman for Northern Ireland, indicating that it relates to policing oversight in Northern Ireland and does not apply to England or the other nations of the UK."
19e175ea-94ac-4624-9a30-3c42c52a56ed,true,true,"This document applies to England as it primarily involves the Environment Agency, which is a public body responsible for environmental regulation in England, including waste, water, and mining operations."
01d508d6-1be3-436b-892a-f0d94909c4b6,true,true,"The statement regarding the impartiality and freedom from political influence of official statistics applies to England as it reflects the principles upheld by the Office for National Statistics (ONS) and other data authorities across the UK, ensuring reliability and objectivity in data collection and reporting."
ac6c8319-afc6-4823-9b98-17174f7be84c,true,true,"This document applies to England as it mentions the Environment Agency, which is the environmental regulator for England. Public consultation processes for waste and mining activities, as well as water discharge regulations, are specific to England's environmental governance."
579a22d2-845d-40b6-8df6-23122af21621,true,true,"The document discusses low traffic neighbourhood (LTN) schemes specifically implemented in areas across England, indicating that it directly pertains to England."
d772e034-22fb-4344-b8d2-da66738d12ce,true,true,"This document pertains to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating that it is applicable to England as well as Wales."
91c949ef-deb1-4a19-b026-b2afae8b1f09,false,true,"This statement applies to England as it reflects the principle upheld by the UK government regarding the independence and impartiality of official statistics, which applies across all nations of the UK."
020e64e8-d1ae-40a6-bae6-24c4345c5d8b,true,true,"This document pertains to planning permissions, which are governed by local council regulations in England. Therefore, it applies to England specifically."
67fd55a2-8be5-4f94-bbe5-6dd566cf7b1f,true,true,"The document specifically discusses the management and guidance of Protected Landscapes, which are relevant to areas in England such as National Parks and Areas of Outstanding Natural Beauty (AONBs). Therefore, it directly applies to England."
cd3d83f9-65da-481a-afc9-b29aca85c573,true,true,"This document applies to England as it specifically mentions data and statistics pertaining to the youth justice system in both England and Wales, highlighting legislative and administrative processes relevant to children in the justice system within these jurisdictions."
28f931a0-ebea-4d2a-bde5-2034aa0ad94f,true,true,"This document pertains to an environmental permit application regulated by the Environment Agency, which operates in England and Wales under the Environmental Permitting (England and Wales) Regulations 2016. The details of the application, including the address and contact information, indicate that it is relevant to England."
43c26857-371d-4119-972b-81f3e697c9d1,true,true,"This document applies to England as the Environment Agency is a government body responsible for environmental regulation specifically in England, overseeing matters like waste management and water discharge activities."
a77409a4-80b0-4521-a1f4-6d16a530ecd5,true,true,"The document pertains to planning appeals for residential development, which falls under local government jurisdiction in England. Therefore, it is applicable to England specifically."
4b888122-b084-47db-9e9a-4525a9d67419,true,true,"This document specifically mentions England & Wales, indicating that the information pertains directly to these regions of the UK."
5cbda5a3-16b6-44bd-b8c8-498e320be958,true,true,"This document pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, which clearly indicates its application to England."
fb93fbec-c2d5-4fda-b377-6dfa5eb22f20,true,true,"The document outlines the revised Environmental Improvement Plan which explicitly addresses environmental policies, challenges, and initiatives specifically for England, including commitments related to air quality, water cleanliness, and biodiversity restoration. It discusses targets, actions, and the involvement of local authorities and communities in England, confirming its specific applicability to the nation."
b8612ccb-4b13-4440-bc54-c446773839e7,false,true,"The document is published on the UK GOV.UK website, which indicates it applies to England."
