id,applies_to_nation_input,applies_to_nation_output,reason
3baf9f5b-c430-4af2-b2be-3f70985443b2,false,true,"This document applies to Scotland as it discusses pesticide regulation, which is devolved and thus relevant for decision-making by the Scottish Government. The UK Government expresses intent to work with devolved administrations, including Scotland, for a consistent approach to pesticide use and regulation."
7e755b06-a6b1-42af-a0e5-3cf664ca0c7b,false,false,"This document pertains to permits issued by the Environment Agency, which operates in England. Therefore, it does not apply to Scotland, as Scotland has its own regulatory body, the Scottish Environment Protection Agency (SEPA), responsible for similar permits."
c1d9c22f-79c5-4bdd-b4bb-1ce1188f1fef,false,false,"This document pertains specifically to the Environment Agency, which operates in England. It does not apply to Scotland, where environmental regulation is managed by the Scottish Environment Protection Agency (SEPA)."
dd43186e-e173-4f48-9b9f-4899d89c902b,false,false,"This document pertains to education data specific to England, particularly key stages 4 and 16 to 18, and does not apply to Scotland's education system, which has different structures and terminology."
ddb5c3ff-9bd0-4fad-905d-867d4cfb7316,false,false,"This document pertains specifically to an environmental permit application regulated by the Environment Agency, which operates in England and Wales only. It does not apply to Scotland as environmental regulation is governed by different authorities in that nation."
fecb5f11-219c-458f-aff4-85da6769a7aa,false,false,"The document specifically pertains to updates from the Office for Health Improvement and Disparities related to England, and it does not mention or apply to Scotland."
c5faf22a-658d-4887-af74-614caab1dd98,false,true,"This publication applies to Scotland as it addresses outcomes for children in need and looked after children, which is a relevant area of practice and social policy within Scottish local authorities and falls under devolved powers related to child welfare."
30743951-d02c-4b8b-83e3-d63e570120a0,false,false,"This document pertains to the Environment Agency, which operates in England only. Therefore, it does not apply to Scotland."
8e8f0c01-8f95-42b8-a1a3-ac8ac6862638,false,false,"This document pertains specifically to the Environment Agency, which operates in England and does not apply to Scotland, where environmental regulation is managed by the Scottish Environment Protection Agency (SEPA)."
b2f34319-d2bf-4f39-aa6e-962a0ee45a49,false,false,"This document specifically outlines guidance for joint targeted area inspections (JTAI) related to children and domestic abuse in England. It does not mention applicability to Scotland, which has its own legislative and policy frameworks for child welfare and domestic abuse."
9f8efff8-18bd-42d7-a41e-06e2117093a0,false,false,"This document pertains specifically to the regulation of social housing in England, addressing the governance and viability of Fairhive Homes Limited. It does not mention or apply to Scottish housing regulations or standards."
fe5c2acb-6152-4f91-a0bd-82312932407b,false,false,"The Crown Prosecution Service (CPS) does not operate in Scotland, where the Crown Office and Procurator Fiscal Service is the equivalent body. Therefore, this document does not apply to Scotland."
584b707e-26ea-42a7-9dcd-82f2be860a3f,false,false,"This document specifically pertains to the regulations and processes governed by the Environment Agency, which operates in England and Wales. Scotland has its own regulatory body, SEPA (Scottish Environment Protection Agency), and separate environmental permitting regulations."
4f678087-b0b7-401c-9ce4-c897adf507ff,true,false,"The document pertains to postcode level gas consumption statistics, which are typically managed by local government bodies and energy regulators. These statistics may not specifically apply to Scotland due to its separate energy regulations and reporting framework compared to the rest of the UK. Therefore, it does not cover Scotland directly."
206cf7e9-1c06-4234-ba93-539c26f0ef77,false,false,"The scheme mentioned is specifically for England only, and therefore does not apply to Scotland."
7542c060-bb2c-4d95-bb2b-965a449b3261,false,false,"This document pertains specifically to England and Wales under the Environmental Permitting (England and Wales) Regulations 2016. It does not apply to Scotland, as Scotland operates under its own legislation for environmental permits."
cd317cd2-6461-4031-a4a5-4b8ee7e885d7,false,false,"The document focuses on smoking services and statistics specifically related to England, with no mention of Scotland or other UK nations. Therefore, it does not apply to Scotland."
5d371bf0-a35a-4257-9ce6-21cabd43f4a0,false,false,"This document is primarily tailored for users in England, referencing specific services and procedures of the Land Registry that apply only in England, thus it does not apply to Scotland."
0f5aaab2-bc46-4f74-aa0e-6ad80445a27d,false,false,"This document specifically pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, which does not apply to Scotland as it has its own regulatory framework for environmental permits."
ae8f4c7f-f5d6-4846-94d6-d79765ea2655,false,false,"The report specifically addresses civil county court cases in England and Wales only, and does not pertain to Scotland, which has a separate legal system."
9fd9f817-8fc6-415b-9a4d-1b2442e8eba5,false,false,The document pertains specifically to the legal aid scheme administered by the Legal Aid Agency for England and Wales and does not mention any legal aid systems or statistics specific to Scotland.
2557197d-b197-483e-9d80-74271801a30f,false,false,"This document pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, which does not apply to Scotland. Environmental regulations in Scotland are governed by separate legislation."
3399c518-faa3-43c6-aad8-e18bcb15b4e2,false,false,"This document pertains specifically to the Environment Agency, which operates in England. Scotland has its own regulatory bodies and procedures for environmental matters, so this document does not apply to Scotland."
dba21d7d-a10b-4f0e-a388-1711ecad716c,false,false,"The document pertains to the regulatory framework for social housing in England, where the Regulator of Social Housing operates. It does not specifically address any regulations or standards applicable to Scotland."
a2ac971e-78e8-4670-a85e-764508b7a16b,false,false,"This document specifically pertains to the Police Ombudsman for Northern Ireland, which is an institution that operates solely within Northern Ireland, and therefore does not apply to Scotland."
19e175ea-94ac-4624-9a30-3c42c52a56ed,false,false,"This document relates specifically to the Environment Agency, which operates in England only. It does not apply to Scotland, where the Scottish Environment Protection Agency (SEPA) manages similar functions."
01d508d6-1be3-436b-892a-f0d94909c4b6,true,true,"This principle of impartiality in the production of official statistics is upheld across the UK, including Scotland, ensuring that statistical outputs are not influenced by political considerations, thus maintaining public trust."
ac6c8319-afc6-4823-9b98-17174f7be84c,false,false,"This document relates specifically to the Environment Agency, which operates in England. Scotland has its own environmental regulatory body, the Scottish Environment Protection Agency (SEPA), and therefore this document does not apply to Scotland."
579a22d2-845d-40b6-8df6-23122af21621,false,false,The document focuses specifically on low traffic neighbourhood (LTN) schemes in England and does not mention any application or relevance to Scotland or its policies.
d772e034-22fb-4344-b8d2-da66738d12ce,false,false,"This document specifically pertains to environmental regulations in England and Wales, as indicated by the reference to the Environmental Permitting (England and Wales) Regulations 2016 and the Environment Agency's role. It does not apply to Scotland."
91c949ef-deb1-4a19-b026-b2afae8b1f09,false,true,"This document applies to Scotland as it pertains to the principles of statistical governance and integrity, which are relevant to all parts of the UK, including Scotland. Official statistics produced in Scotland also adhere to standards of impartiality and independence."
020e64e8-d1ae-40a6-bae6-24c4345c5d8b,false,false,"The document pertains to planning permission processes, which are devolved matters managed by local authorities in Scotland, Northern Ireland, England, and Wales. This specific application and its context do not mention Scottish planning regulations, indicating it is likely a decision relevant to England only."
67fd55a2-8be5-4f94-bbe5-6dd566cf7b1f,false,false,"This document specifically relates to management plans for Protected Landscapes in England, which include National Parks and Areas of Outstanding Natural Beauty (AONBs). It does not apply to Scotland, as Scotland has its own distinct approach and legislation regarding protected areas and land management."
cd3d83f9-65da-481a-afc9-b29aca85c573,false,false,"The document focuses specifically on the youth justice system in England and Wales, and does not pertain to Scotland, which has its own distinct legal and youth justice framework."
28f931a0-ebea-4d2a-bde5-2034aa0ad94f,false,false,"This document pertains specifically to the Environmental Permitting (England and Wales) Regulations 2016, which do not apply to Scotland, as environmental regulations are devolved matters and governed separately in Scotland."
43c26857-371d-4119-972b-81f3e697c9d1,false,false,"This document pertains specifically to the Environment Agency, which operates in England only. Scotland has its own environmental regulatory body, the Scottish Environment Protection Agency (SEPA), and the consultation processes may differ."
