id,applies_to_nation_input,applies_to_nation_output,reason
01c3b469-790a-4108-b1f7-4fe31446d275,true,true,"The document pertains to a teacher in Lincolnshire, which is located in England, and references regulations and processes specific to the teaching profession in England."
0079785b-6034-4194-9e96-bae766909140,true,true,"The document pertains to an environmental permit issued by the Environment Agency for a facility located in Wednesbury, England, indicating that it applies to England."
0148c09d-ab20-4695-b141-746901218814,true,true,"This document contains financial data related to Fire and Rescue Authorities, which operate within England and are governed by English law and standards."
0202dcd1-328f-4a59-b40c-4ea258fb467a,true,true,"This document pertains to housing associations in England and involves the Housing Ombudsman, which operates under English law, thus it applies specifically to England."
031ff4b5-d024-4977-8897-a1e74f63cc14,true,true,"The document pertains to Thurrock Council, which is located in England, and discusses matters specific to local government and statutory intervention under UK legislation."
028f6aa5-5458-4a94-a132-4bf270b4a89e,true,true,"The document pertains to an environmental permit application regulated by the Environment Agency, which operates in England. The address and context indicate that this specific application applies to England."
020c3985-a017-4ae2-8930-7403eaf15382,false,true,"This document outlines fees related to veterinary medicinal product authorizations and inspections, which are regulated by the Animal Medicines Regulations in England. The provided fee structure indicates that these regulations apply specifically to England, as they fall under the jurisdiction of the UK government for veterinary medicine."
03a4398f-bdd9-4361-b9b0-4defd05f8f0f,true,true,"The Civil Justice Statistics Quarterly pertains to civil and administrative justice in England and Wales, specifically covering county court civil cases, judicial reviews, and privacy injunction proceedings. Therefore, it applies to England."
0037b442-e04e-4cae-a69b-166c49c39ce6,true,true,"This document pertains to the NHS Abdominal Aortic Aneurysm Screening Programme, which operates within England as part of the UK's National Health Service. The guidance, procedures, and standards discussed specifically apply to screening staff working in England."
0242af8e-dfb1-470a-839d-98b8d4f13fa3,true,true,"This document pertains to an environmental permit application regulated under the Environmental Permitting (England and Wales) Regulations 2016, which indicates that it is applicable to England."
02cdc0b9-ca20-4ac3-8d24-8eb8b8d9b75d,true,true,"The National Security Act 2023 applies to England, as it is primarily legislation enacted by the UK Parliament that governs security-related matters and law enforcement procedures within England's jurisdiction."
0281ca1c-fa4e-4f70-901e-1542a721011f,true,true,"This document pertains to the review of careers guidance in specialist settings, specifically outlined by the Department for Education (DfE), which operates in England. The focus on special schools and independent specialist colleges indicates that it is relevant to the educational framework within England."
02f5266e-016d-46e2-b8d1-f99c39827007,true,true,"The document specifically references England and Wales, indicating that it pertains to both nations. Therefore, it applies to England."
011cc4d2-375e-4a4d-a618-b4612c185546,true,true,"This document pertains to an environmental permit issued by the Environment Agency, which operates in England. Therefore, it applies specifically to England."
00e63766-c6d8-403c-9fb4-30ae07f24b5d,true,true,"This document relates to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating that it applies to England."
04c6fe99-5c80-40d8-b3ae-0aa88d138285,true,true,"This document applies to England as it pertains to the Freedom of Information Act 2000, which is specific to UK legislation governing information rights in England and Wales."
01208b82-254a-4157-968f-5f6b15090098,true,true,"This document presents Safety in Custody Statistics that specifically cover deaths, self-harm, and assaults in prison custody in England and Wales, indicating its applicability to England."
04052be0-6899-4c9c-b779-d2b80753c138,true,true,"This document pertains to an environmental permit application being processed by the Environment Agency, which is responsible for environmental regulation in England. Therefore, it applies specifically to England."
0334afc2-fb26-439c-a28d-99030cc57009,true,true,"The document pertains to an environmental permit application by the Environment Agency, which operates in England. Therefore, it is applicable to England."
022bf757-7192-4ac2-8f8a-207999d3ffbe,true,true,"This document pertains to an environmental permit application governed by the Environmental Permitting (England and Wales) Regulations 2016, indicating that it is applicable in England."
009fa876-4cd0-40cd-b3cd-2023460e11b1,true,true,"This document pertains to the Teachers' pension scheme, which is applicable in England as it falls under the jurisdiction of the Department for Education (DfE) for England's education system."
01297400-f487-435c-8629-1059ac44160d,true,true,"This document pertains to an environmental permit issued by the Environment Agency, which is responsible for environmental regulation in England. Therefore, it applies specifically to England."
02032c11-748a-4c2a-a788-6d5123bf5eee,true,false,"This document specifically pertains to regulations and assessments for Northern Ireland and does not apply to England, which has separate legal and regulatory frameworks."
0130bf8f-33b5-4470-87a7-0ab42bc0a4e0,true,true,"The report focuses on youth justice services and their experiences following public disorder events, which is relevant to England as it pertains to the operation of these services and their frameworks within the English legal system."
03975f98-b98c-43a9-8c6b-889405df27ce,true,true,"The NHS Pension Scheme is primarily applicable to England as it is managed by NHS England. While pension schemes may exist in Scotland, Wales, and Northern Ireland, this specific report focuses on the arrangements and benefits related to the NHS in England."
01f74b39-903d-4896-b057-d1ff01353827,true,true,"This document pertains to the financial statements of HM Land Registry, which is a government agency operating under UK law and specifically provides services related to land registration in England and Wales. Therefore, it directly applies to England."
0080275c-3110-4328-83f5-d23cc3d674f6,false,false,This document specifically addresses further education sector activity in Northern Ireland and does not pertain to England or any other nation within the UK.
0394319c-f5e5-4938-8147-280c93f68b3c,true,true,"The minutes pertain to the activities of the National Data Guardian Panel, which oversees data protection and guidance in healthcare, applicable to England's NHS framework and governance."
00268e48-c55b-49e2-8475-6d76c94197db,true,true,"This document relates to an environmental permit application managed by the Environment Agency, which operates in England, indicating that it applies specifically to England."
02d81b03-aed7-4050-8062-bd3feb09a02e,true,true,"This document provides information related to Patau's syndrome screening and care, which is relevant to services offered in England, particularly through the NHS. It specifically mentions NHS resources and organizations that operate within England, thus indicating its applicability."
043c6788-e423-4869-83d7-a0571ff59824,false,false,The document specifically addresses Universal Credit statistics in Northern Ireland and does not pertain to England.
01866245-090b-4096-8067-d65e29e9c2fb,true,true,"This document pertains to an environmental permit application by the Environment Agency, which operates in England. Therefore, the content is applicable to England."
